loan_status,term,home_ownership,emp_length,verification_status,installment,monthly_inc,PaymentToIncome,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc
1,36,2,4,2,810.92,12500.0,0.0648736,8.07,0,0,10,0,32757,0.45,30
1,36,2,10,3,271.73,5166.666666666667,0.05259290322580645,17.71,0,0,7,0,9466,0.359,19
1,36,2,5,1,381.34,5000.0,0.07626799999999999,6.5,0,0,7,0,6939,0.603,11
1,36,3,6,1,272.95,4333.333333333333,0.06298846153846153,14.15,0,0,12,0,5572,0.152,24
1,60,3,0,3,765.89,7583.0,0.10100092311749967,18.63,1,2,10,0,26814,0.41600000000000004,24
1,36,3,0,1,195.61,2699.0,0.07247499073731012,11.12,0,1,2,0,0,0.0,6
1,36,2,4,1,102.13,3600.0,0.028369444444444444,16.33,1,2,4,0,2366,0.623,12
0,36,2,7,1,156.46,2258.0,0.06929140832595217,1.11,0,0,12,0,424,0.047,14
0,60,4,10,1,35.97,4250.0,0.008463529411764705,23.32,2,2,11,0,3084,0.995,66
1,36,2,0,1,129.22,3083.3333333333335,0.041909189189189185,20.92,0,0,11,0,1620,0.172,29
1,36,4,4,1,458.28,3333.3333333333335,0.137484,13.71,0,1,10,1,6199,0.466,21
0,60,2,10,2,549.67,4972.5,0.11054198089492207,16.87,0,1,13,0,15408,0.782,21
1,60,3,9,2,350.11,8250.0,0.04243757575757576,14.8,0,1,9,0,7371,0.975,34
1,36,2,10,1,72.39,3333.3333333333335,0.021717,10.05,0,0,6,0,10028,0.294,16
1,36,2,10,1,470.0,3333.3333333333335,0.141,22.47,0,2,3,0,32024,0.92,14
1,60,3,10,3,361.36,3500.0,0.10324571428571429,3.54,0,1,7,0,4636,0.386,14
1,60,3,2,3,282.59,2166.6666666666665,0.13042615384615383,17.63,0,0,8,0,6361,0.233,24
1,36,2,5,2,678.4,15833.333333333334,0.042846315789473684,8.92,0,0,15,0,24,0.003,37
1,36,2,0,1,278.53,3416.6666666666665,0.08152097560975609,8.2,1,0,6,0,7979,0.48700000000000004,12
1,60,3,0,2,549.69,15000.0,0.036646000000000005,11.48,0,1,16,0,41102,0.494,49
1,36,2,2,1,659.43,7500.0,0.08792399999999999,7.92,0,2,5,0,0,0.0,15
1,36,2,10,3,404.27,6000.0,0.06737833333333333,17.63,0,3,14,1,6982,0.581,24
1,36,3,7,2,457.51,6083.333333333333,0.07520712328767123,18.05,0,2,8,0,68214,0.084,24
1,36,2,2,3,100.52,4507.0,0.022303084091413357,5.33,0,3,4,0,3747,0.961,6
1,36,2,0,1,162.73,1250.0,0.130184,24.4,0,3,6,0,0,0.0,6
1,36,2,5,2,67.61,3500.0,0.019317142857142856,21.63,2,3,12,0,4408,0.551,29
1,60,2,1,3,214.03,2916.6666666666665,0.07338171428571429,0.0,0,3,3,0,0,0.0,14
1,36,2,0,1,98.21,1572.0,0.06247455470737913,3.82,0,1,9,0,2737,0.782,10
1,36,2,3,1,142.67,2600.0,0.05487307692307692,17.77,0,1,7,0,2187,0.705,9
1,36,3,4,1,264.76,2916.6666666666665,0.09077485714285714,18.31,0,0,6,0,4749,0.54,9
1,36,3,0,1,260.36,4000.0,0.06509000000000001,5.15,0,1,6,0,9193,0.601,10
1,36,2,1,2,344.25,5450.0,0.0631651376146789,19.62,0,0,13,0,22398,0.845,35
1,36,3,10,3,460.01,6200.0,0.07419516129032258,2.31,0,0,4,0,8761,0.364,21
1,36,2,2,2,686.12,6250.0,0.10977920000000001,8.02,0,3,7,0,15278,0.764,20
1,60,3,10,3,836.88,10000.0,0.083688,22.74,0,1,13,0,13651,0.369,47
0,60,2,10,1,206.99,6500.0,0.03184461538461539,13.18,0,1,12,0,8038,0.452,21
1,60,3,3,3,562.46,5644.583333333333,0.09964597327821659,18.8,0,2,8,0,18364,0.7559999999999999,16
1,60,3,2,1,212.51,5416.666666666667,0.03923261538461538,23.69,0,1,14,0,23043,0.431,36
1,36,2,0,2,283.96,2342.8333333333335,0.12120367076901187,11.78,0,3,7,0,10168,0.385,16
1,36,2,10,2,77.69,3096.0,0.025093669250645993,2.26,0,0,4,0,2211,0.884,13
1,36,3,10,3,33.94,4000.0,0.008485,12.72,0,1,4,0,2093,0.361,12
1,36,3,10,1,153.85,6250.0,0.024616,2.32,0,0,14,0,2814,0.07200000000000001,39
1,60,2,6,3,191.5,4333.333333333333,0.0441923076923077,18.62,0,1,10,0,11672,0.35700000000000004,17
0,36,3,10,3,159.11,4333.333333333333,0.03671769230769231,9.05,1,2,9,0,587,0.042,28
1,60,3,10,2,389.36,7245.416666666667,0.05373880039105181,10.72,1,3,6,1,5658,0.7290000000000001,18
1,60,2,7,1,306.36,5333.333333333333,0.05744250000000001,11.33,0,3,6,0,6782,0.6459999999999999,20
1,36,2,8,2,123.77,2250.0,0.055008888888888885,12.22,0,0,5,0,9953,0.43799999999999994,9
1,36,2,5,1,207.87,3000.0,0.06929,13.8,0,3,3,0,2439,0.787,3
1,36,1,3,1,164.02,5000.0,0.032804,13.72,0,2,11,0,6577,0.158,29
1,36,2,10,2,196.51,9333.333333333334,0.021054642857142855,2.12,0,0,6,0,587,0.022000000000000002,26
1,36,2,2,1,176.9,2083.0,0.08492558809409506,8.07,0,0,4,0,1939,0.9690000000000001,8
1,36,2,6,2,603.63,6250.0,0.0965808,18.82,0,0,20,0,35954,0.828,23
0,36,3,1,1,385.14,5416.666666666667,0.07110276923076922,11.76,0,2,11,0,54707,0.506,24
1,36,2,7,2,838.51,15416.666666666666,0.05438983783783784,4.1,0,2,3,0,1701,0.28300000000000003,9
1,36,2,2,1,164.55,4004.0,0.0410964035964036,17.33,0,0,7,0,20800,0.863,18
1,36,3,0,3,375.49,4200.0,0.08940238095238096,7.57,0,1,4,0,3205,0.401,10
1,36,2,1,2,676.73,7750.0,0.08732000000000001,27.47,0,0,13,0,42454,0.68,24
0,60,4,5,1,137.23,3833.0,0.0358022436733629,16.72,0,2,4,0,12713,0.735,11
1,36,2,4,2,261.72,2166.6666666666665,0.12079384615384617,17.54,0,0,5,0,4034,0.672,16
1,36,4,0,2,330.67,2667.0,0.12398575178102737,22.01,0,0,4,0,1508,0.794,4
1,60,2,0,2,486.58,4333.333333333333,0.11228769230769231,17.24,2,1,8,0,19519,0.7509999999999999,25
1,36,3,1,1,112.92,2400.0,0.04705,7.38,0,0,7,0,4579,0.395,11
1,36,3,10,2,539.57,6007.25,0.08981980107370262,3.56,0,2,5,0,7561,0.8690000000000001,13
1,36,2,2,3,508.96,3750.0,0.13572266666666666,16.4,0,0,7,0,8808,0.753,9
1,36,2,0,1,248.08,3137.3333333333335,0.07907352316192096,8.29,0,1,4,0,2845,0.10300000000000001,22
0,60,2,10,2,130.22,3750.0,0.03472533333333333,3.89,0,2,14,0,7062,0.21600000000000003,33
1,36,2,2,1,174.75,3958.3333333333335,0.04414736842105263,3.54,0,1,5,0,5691,0.862,9
1,36,2,10,3,251.18,6500.0,0.038643076923076926,13.22,0,0,13,0,28747,0.48,23
1,60,2,2,2,256.07,5000.0,0.051213999999999996,13.86,0,1,13,0,7704,0.259,39
1,36,2,10,2,562.18,4583.0,0.12266637573641719,19.31,2,2,10,0,3788,0.28800000000000003,63
1,36,2,10,1,423.27,4400.76,0.0961811141711886,7.45,0,1,8,0,9895,0.8140000000000001,25
1,60,3,10,1,290.03,5000.0,0.058005999999999995,6.9,0,0,7,0,10644,0.42200000000000004,17
1,36,3,10,1,428.37,4000.0,0.10709250000000001,18.3,0,0,10,0,4105,0.122,40
1,36,2,6,3,229.06,2083.3333333333335,0.1099488,21.74,0,0,7,0,11588,0.878,15
1,36,3,2,3,417.23,4666.666666666667,0.08940642857142857,6.81,0,1,10,0,21456,0.27699999999999997,16
1,60,3,5,1,110.5,3167.0,0.034891064098515945,23.78,0,0,12,0,10023,0.573,17
1,36,2,1,1,43.71,3333.3333333333335,0.013113,7.47,0,2,8,0,15774,0.498,14
0,60,3,10,2,371.91,7417.0,0.05014291492517191,6.04,0,3,9,0,14192,0.479,19
1,36,2,3,1,325.45,4583.333333333333,0.07100727272727272,13.4,0,1,11,0,16657,0.825,37
0,36,2,2,1,271.45,5141.666666666667,0.052794165316045374,14.92,0,0,15,0,18474,0.9670000000000001,56
1,60,3,0,2,260.85,12916.666666666666,0.02019483870967742,14.68,0,0,24,0,5852,0.09699999999999999,50
1,36,3,3,3,870.85,6300.0,0.13823015873015873,9.35,0,2,7,0,23379,0.077,16
1,36,2,0,3,406.78,5833.333333333333,0.06973371428571429,17.03,0,0,12,0,15722,0.44,42
0,60,2,9,3,558.85,9583.0,0.05831681101951373,10.71,0,2,13,0,33869,0.35200000000000004,26
1,36,3,2,2,208.67,5833.333333333333,0.035772,18.55,0,1,6,0,18749,0.6579999999999999,9
1,36,3,2,1,286.3,5416.666666666667,0.05285538461538462,9.32,0,1,6,0,4992,0.998,18
1,36,2,4,3,86.45,3916.6666666666665,0.022072340425531918,8.12,0,0,5,0,0,0.0,8
1,36,3,5,2,107.25,6250.0,0.01716,10.99,0,3,12,1,9567,0.985,18
1,36,3,5,1,178.41,3000.0,0.05947,12.97,0,1,6,0,20052,0.748,19
1,36,2,0,1,56.82,1882.0,0.030191285866099895,16.63,0,2,12,1,7382,0.467,37
0,36,3,10,2,363.49,14616.666666666666,0.02486818700114025,17.72,2,0,12,0,56095,0.971,36
1,36,2,10,3,466.53,2750.0,0.16964727272727273,20.18,0,0,9,0,11199,0.371,25
1,36,3,4,3,575.54,11666.666666666666,0.049332,12.42,1,1,18,0,35088,0.53,36
1,60,3,5,3,203.31,7916.666666666667,0.025681263157894735,1.71,0,0,5,0,5807,0.457,9
1,36,2,2,3,216.94,1666.6666666666667,0.130164,3.3,0,0,4,0,2566,0.177,4
0,60,2,8,3,346.62,4166.666666666667,0.0831888,1.68,0,0,3,0,2766,0.401,11
1,36,3,10,1,322.63,7083.333333333333,0.04554776470588236,12.59,0,1,9,0,15884,0.474,21
1,36,2,10,2,465.24,3000.0,0.15508,10.9,0,1,7,0,5260,0.809,12
1,36,2,2,1,156.58,3000.0,0.052193333333333335,3.13,0,3,3,0,775,0.431,8
1,36,2,2,1,100.28,2500.0,0.040112,2.84,0,1,9,0,179,0.005,19
1,60,3,2,2,432.26,6125.0,0.0705730612244898,3.07,0,0,5,0,17797,0.622,12
1,36,3,3,1,295.37,4000.0,0.0738425,5.08,0,0,8,0,11253,0.259,20
1,60,2,10,3,316.63,4333.333333333333,0.07306846153846154,20.58,0,2,20,0,12453,0.192,31
